web-scraper-order,web-scraper-start-url,fact_checked organization,date,title,link,link-href,external link,external link-href
"1625072233-1103","https://www.poynter.org/ifcn-covid-19-misinformation/page/56/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PesaCheck","2020/04/08 | Kenya, United States","FALSE: US arrests the man who created COVID-19.","FALSE: US arrests the man who created COVID-19.","https://www.poynter.org/?ifcn_misinformation=us-arrests-the-man-who-created-covid-19","Read the Full Article (PesaCheck)","https://pesacheck.org/false-the-arrest-of-harvard-scientist-prof-charles-lieber-is-not-linked-to-covid-19-2a9b83c9d143"
"1625073384-1444","https://www.poynter.org/ifcn-covid-19-misinformation/page/33/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/06/14 | United States","FALSE: “Six months before the COVID ‘plandemic,’ Bill Gates had negotiated a $100 billion contact tracing deal with (the) Democratic congressman sponsor of bill.”","FALSE: “Six months before the COVID ‘plandemic,’ Bill Gates had negotiated a $100 billion contact tracing deal with (the) Democratic congressman sponsor of bill.”","https://www.poynter.org/?ifcn_misinformation=six-months-before-the-covid-plandemic-bill-gates-had-negotiated-a-100-billion-contact-tracing-deal-with-the-democratic-congressman-sponsor-of-bill","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/jun/22/facebook-posts/no-evidence-tying-bill-gates-100-billion-covid-19-/"
"1625073938-1617","https://www.poynter.org/ifcn-covid-19-misinformation/page/21/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/12/09 | United States","FALSE: “Biden confirms agenda to microchip the masses”","FALSE: “Biden confirms agenda to microchip the masses”","https://www.poynter.org/?ifcn_misinformation=biden-confirms-agenda-to-microchip-the-masses","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/dec/11/instagram-posts/biden-did-not-confirm-or-support-agenda-microchip-/"
"1625071709-948","https://www.poynter.org/ifcn-covid-19-misinformation/page/66/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/03/24 | United States","False: Deaths blamed on coronavirus are actually due to the flu.","False: Deaths blamed on coronavirus are actually due to the flu.","https://www.poynter.org/?ifcn_misinformation=deaths-blamed-on-coronavirus-are-actually-due-to-the-flu","Read the Full Article (LeadStories)","https://leadstories.com/hoax-alert/2020/03/Fact-Check-Deaths-Blamed-On-Coronavirus-Are-NOT-Really-Due-To-The-Flu.html"
"1625072066-1053","https://www.poynter.org/ifcn-covid-19-misinformation/page/59/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Maldita.es","2020/04/03 | Spain, China, United States","False: A video of Bill Ryan claiming China would be attacked with biological weapons.","False: A video of Bill Ryan claiming China would be attacked with biological weapons.","https://www.poynter.org/?ifcn_misinformation=a-video-of-bill-ryan-claiming-china-would-be-attacked-with-biological-weapons","Read the Full Article (Maldita.es)","https://maldita.es/malditobulo/2020/04/03/coronavirus-arma-biologica-reducir-poblacion-video-2010/"
"1625071022-727","https://www.poynter.org/ifcn-covid-19-misinformation/page/81/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/02/26 | United States","False: “Hair weave and lace fronts manufactured in China may contain the coronavirus.”","False: “Hair weave and lace fronts manufactured in China may contain the coronavirus.”","https://www.poynter.org/?ifcn_misinformation=hair-weave-and-lace-fronts-manufactured-in-china-may-contain-the-coronavirus","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/feb/29/blog-posting/hair-extensions-arent-source-2019-coronavirus/?check=1"
"1625072306-1125","https://www.poynter.org/ifcn-covid-19-misinformation/page/54/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/04/10 | United States","FALSE: Viral publication says a video shows a “gay party in Italy few weeks before COVID-19.”","FALSE: Viral publication says a video shows a “gay party in Italy few weeks before COVID-19.”","https://www.poynter.org/?ifcn_misinformation=viral-publication-says-a-video-shows-a-gay-party-in-italy-few-weeks-before-covid-19","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/apr/14/viral-image/isnt-video-gay-party-italy-just-pandemic/"
"1625074338-1783","https://www.poynter.org/ifcn-covid-19-misinformation/page/10/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2021/03/31 | United States","FALSE: “mRNA is not a vaccine” — it’s “actually an operating system” that’s run by Bill Gates to program humans.","FALSE: “mRNA is not a vaccine” — it’s “actually an operating system” that’s run by Bill Gates to program humans.","https://www.poynter.org/?ifcn_misinformation=mrna-is-not-a-vaccine-its-actually-an-operating-system-thats-run-by-bill-gates-to-program-humans","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2021/apr/01/facebook-posts/covid-19-vaccine-not-operating-system-run-bill-gat/"
"1625072935-1315","https://www.poynter.org/ifcn-covid-19-misinformation/page/42/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Détecteur de rumeurs","2020/05/05 | United States, Canada","FALSE: Scientists discovered a new and more contagious strain of the coronavirus.","FALSE: Scientists discovered a new and more contagious strain of the coronavirus.","https://www.poynter.org/?ifcn_misinformation=scientists-discovered-a-new-and-more-contagious-strain-of-the-coronavirus","Read the Full Article (Détecteur de rumeurs)","https://www.sciencepresse.qc.ca/actualite/covid-19-depister-desinfo/2020/05/06/prouve-nouvelle-souche-virus-plus-contagieuse-non"
"1625072692-1241","https://www.poynter.org/ifcn-covid-19-misinformation/page/46/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/04/24 | United States","FALSE: “Mitch McConnell said he wanted states to go bankrupt instead of the federal government providing relief. Today, Thom Tillis agreed.”","FALSE: “Mitch McConnell said he wanted states to go bankrupt instead of the federal government providing relief. Today, Thom Tillis agreed.”","https://www.poynter.org/?ifcn_misinformation=mitch-mcconnell-said-he-wanted-states-to-go-bankrupt-instead-of-the-federal-government-providing-relief-today-thom-tillis-agreed","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/may/12/cal-cunningham/nc-democrat-misrepresents-tillis-position-aid-stat/"
